Name,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Handle Fraction,Spacer Penalty,Handle-Spacer Penalty,Duplex Energy,New Net Energy,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Handle Barrier,Spacer Barrier,Bind Barrier,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Bind ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
J306,-33,0.6,0.55,-32.9,0.37756882,5,5.1,-38,-32.3,TRUE,2,1000,1000,1000,1000,5,9.5,5.2,10,1000,1000,1000,1000,1000,0.55,0.75,5.1,5.7,1000,1000,1000,1000,1000,5.2,-1.8,
J306-19,-32.1,0.6,0.58,-32,0.409089644,5,5.1,-37.1,-31.4,TRUE,2,1000,1000,1000,1000,4,9.5,5.2,10,1000,1000,1000,1000,1000,0.6,0.75,5.1,5.7,1000,1000,1000,1000,1000,5.2,-1.8,
J306-18,-30.5,0.6,0.61,-30.4,0.412888789,5,5.1,-35.5,-29.8,TRUE,2,1000,1000,1000,1000,3,9.5,5.2,10,1000,1000,1000,1000,1000,0.6,0.625,5.1,5.7,1000,1000,1000,1000,1000,5.2,-1.8,
J306-17,-27.8,0.8,0.65,-27.9,0.361242969,5,4.9,-32.8,-27.1,TRUE,1,1000,1000,1000,1000,2,10,4.9,10,1000,1000,1000,1000,1000,0.55,0.5,4.9,5.7,1000,1000,1000,1000,1000,0,0,
J306-16,-26.2,0.8,0.69,-26.3,0.346515174,5,4.9,-31.2,-25.5,TRUE,1,1000,1000,1000,1000,1,10,4.9,10,1000,1000,1000,1000,1000,0.55,0.5,4.9,5.7,1000,1000,1000,1000,1000,0,0,
J306-15,-23.5,0.8,0.73,-23.6,0.300440612,5,4.9,-28.5,-22.8,TRUE,1,1000,1000,1000,1000,0,10,4.9,10,1000,1000,1000,1000,1000,0.5,0.375,4.9,5.7,1000,1000,1000,1000,1000,0,0,
J306-14,-22.4,0,0.64,-21.7,0.631337588,4.2,4.9,-26.6,-21.7,TRUE,1,1000,1000,1000,1000,4,0,4.9,4.9,1000,1000,1000,1000,1000,0.5,0.25,4.9,4.9,1000,1000,1000,1000,1000,0,0,
J306-13,-19.1,0,0.69,-18.4,0.704830633,4.2,4.9,-23.3,-18.4,TRUE,1,1000,1000,1000,1000,3,0,4.9,4.9,1000,1000,1000,1000,1000,0.5,0.25,4.9,4.9,1000,1000,1000,1000,1000,0,0,
J306-12,-16.5,0,0.75,-15.8,0.743645552,4.2,4.9,-20.7,-15.8,TRUE,1,1000,1000,1000,1000,2,0,4.9,4.9,1000,1000,1000,1000,1000,0.45,0.25,4.9,4.9,1000,1000,1000,1000,1000,0,0,
J306-11,-14.9,0,0.82,-14.2,0.909022093,4.2,4.9,-19.1,-14.2,TRUE,1,1000,1000,1000,1000,1,0,4.9,4.9,1000,1000,1000,1000,1000,0.5,0.25,4.9,4.9,1000,1000,1000,1000,1000,0,0,
