Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
J306,10.0,9.5,5.2,-32.3,5.7,-38.0,0.377568820231315,-33.0,0.6,0.55,-32.9,5.0,5.1,True,2.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.75,5.1,1000.0,1000.0,1000,1000,1000,5.2,-1.8000000000000007,
J306-19,10.0,9.5,5.2,-31.4,5.7,-37.1,0.4090896442107443,-32.1,0.6,0.58,-32.0,5.0,5.1,True,2.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.75,5.1,1000.0,1000.0,1000,1000,1000,5.2,-1.8000000000000007,
J306-18,10.0,9.5,5.2,-29.8,5.7,-35.5,0.4128887888834904,-30.5,0.6,0.61,-30.4,5.0,5.1,True,2.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,5.1,1000.0,1000.0,1000,1000,1000,5.2,-1.8000000000000007,
J306-17,10.0,10.0,4.9,-27.1,5.7,-32.8,0.3612429692083656,-27.8,0.8,0.65,-27.9,5.0,4.9,True,1.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-16,10.0,10.0,4.9,-25.5,5.7,-31.2,0.34651517385865827,-26.2,0.8,0.69,-26.3,5.0,4.9,True,1.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-15,10.0,10.0,4.9,-22.8,5.7,-28.5,0.30044061228512337,-23.5,0.8,0.73,-23.6,5.0,4.9,True,1.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.375,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-14,4.9,0.0,4.9,-21.7,4.9,-26.6,0.6313375880287708,-22.4,0.0,0.64,-21.7,4.2,4.9,True,1.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-13,4.9,0.0,4.9,-18.4,4.9,-23.3,0.7048306325377732,-19.1,0.0,0.69,-18.4,4.2,4.9,True,1.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-12,4.9,0.0,4.9,-15.8,4.9,-20.7,0.7436455517757455,-16.5,0.0,0.75,-15.8,4.2,4.9,True,1.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.25,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J306-11,4.9,0.0,4.9,-14.2,4.9,-19.1,0.9090220932958071,-14.9,0.0,0.82,-14.2,4.2,4.9,True,1.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,4.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
